id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
34110,78070,Spring Branch,TX,D,S,29.8391160,-98.4093010,,,,,,
34111,78071,Three Rivers,TX,D,S,28.3564910,-98.1358040,,,,,,
34112,78072,Tilden,TX,D,S,28.3476680,-98.6533640,,,,,,
34113,78073,Von Ormy,TX,D,S,29.2548660,-98.6134950,,,,,,
34114,78074,Waring,TX,D,P,29.8215290,-98.7522340,,,,,,
34115,78075,Whitsett,TX,D,S,28.6338890,-98.2716670,,,,,,
34116,78076,Zapata,TX,D,S,26.8964290,-99.2629930,,,,,,
34117,78100,Somers,CT,D,S,41.9947490,-72.4512600,,,,,,
34118,78101,Adkins,TX,D,S,29.3495050,-98.2231030,,,,,,
34119,78102,Beeville,TX,D,S,28.4033560,-97.7490540,,,,,,
34120,78104,Beeville,TX,D,P,28.4108300,-97.7606920,,,,,,
34121,78107,Berclair,TX,D,P,28.5323180,-97.5880010,,,,,,
34122,78108,Cibolo,TX,D,S,29.5682450,-98.2292090,,,,,,
34123,78109,Converse,TX,D,S,29.4789320,-98.2740690,,,,,,
34124,78111,Ecleto,TX,D,S,29.0461110,-97.7511110,,,,,,
34125,78112,Elmendorf,TX,D,S,29.2265230,-98.3669700,,,,,,
34126,78113,Falls City,TX,D,S,28.9315210,-98.0630350,,,,,,
34127,78114,Floresville,TX,D,S,29.1601000,-98.1797060,,,,,,
34128,78115,Geronimo,TX,D,P,29.6102380,-98.0255700,,,,,,
34129,78116,Gillett,TX,D,S,29.0765880,-97.7910880,,,,,,
34130,78117,Hobson,TX,D,S,28.9362550,-97.9823460,,,,,,
34131,78118,Karnes City,TX,D,S,28.8913040,-97.9001580,,,,,,
34132,78119,Kenedy,TX,D,S,28.8130020,-97.8497250,,,,,,
34133,78121,La Vernia,TX,D,S,29.3361350,-98.0957020,,,,,,
34134,78122,Leesville,TX,D,S,29.4043620,-97.7440310,,,,,,
34135,78123,Mc Queeney,TX,D,S,29.6059560,-98.0341720,,,,,,
34136,78124,Marion,TX,D,S,29.5742390,-98.1506120,,,,,,
34137,78125,Mineral,TX,D,P,28.5503200,-97.9031070,,,,,,
34138,78130,New Braunfels,TX,D,S,29.7196200,-98.0808000,,,,,,
34139,78131,New Braunfels,TX,D,P,29.7149800,-98.1437240,,,,,,
34140,78132,New Braunfels,TX,D,S,29.7772200,-98.1529800,,,,,,
34141,78133,Canyon Lake,TX,D,S,29.8809000,-98.2152000,,,,,,
34142,78135,New Braunfels,TX,D,U,29.7038650,-98.1175230,,,,,,
34143,78140,Nixon,TX,D,S,29.2721270,-97.7652420,,,,,,
34144,78141,Nordheim,TX,D,S,28.8986810,-97.5637510,,,,,,
34145,78142,Normanna,TX,D,P,28.5301610,-97.7831580,,,,,,
34146,78143,Pandora,TX,D,P,29.2465760,-97.8343390,,,,,,
34147,78144,Panna Maria,TX,D,P,28.9558500,-97.8965340,,,,,,
34148,78145,Pawnee,TX,D,P,28.6542550,-98.0012020,,,,,,
34149,78146,Pettus,TX,D,P,28.6149760,-97.8030400,,,,,,
34150,78147,Poth,TX,D,P,29.0359540,-98.1009320,,,,,,
34151,78148,Universal City,TX,D,S,29.5517040,-98.3024640,,,,,,
34152,78150,Universal City,TX,D,S,29.5279180,-98.2745630,,,,,,
34153,78151,Runge,TX,D,S,28.8763500,-97.7049280,,,,,,
34154,78152,Saint Hedwig,TX,D,S,29.4360230,-98.2019790,,,,,,
34155,78154,Schertz,TX,D,S,29.5875090,-98.2882980,,,,,,
34156,78155,Seguin,TX,D,S,29.5666600,-97.9654130,,,,,,
34157,78156,Seguin,TX,D,P,29.5673210,-97.9308580,,,,,,
